Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:34.308,1:33.527,1:32.422,1
2,4,Lewis Hamilton,McLaren-Mercedes,1:34.813,1:33.209,1:32.520,2
3,2,Mark Webber,Red Bull-Renault,1:34.015,1:33.311,1:32.637,3
4,3,Jenson Button,McLaren-Mercedes,1:34.792,1:33.416,1:32.711,4
5,8,Nico Rosberg,Mercedes,1:34.588,1:33.219,1:32.821,5
6,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:33.988,1:33.556,1:32.912,6
7,10,Romain Grosjean,Lotus-Renault,1:34.041,1:33.246,1:33.008,7
8,15,Sergio Pérez,Sauber-Ferrari,1:33.814,1:33.660,1:33.394,8
9,5,Fernando Alonso,Ferrari,1:34.760,1:33.403,no time,9
10,11,Paul di Resta,Force India-Mercedes,1:34.624,1:33.510,no time,10
11,9,Kimi Räikkönen,Lotus-Renault,1:34.552,1:33.789,,11
12,14,Kamui Kobayashi,Sauber-Ferrari,1:34.131,1:33.806,,12
13,12,Nico Hülkenberg,Force India-Mercedes,1:34.601,1:33.807,,13
14,6,Felipe Massa,Ferrari,1:34.372,1:33.912,,14
15,19,Bruno Senna,Williams-Renault,1:34.466,1:34.017,,15
16,20,Heikki Kovalainen,Caterham-Renault,1:34.852,1:36.132,,16
17,18,Pastor Maldonado,Williams-Renault,1:34.639,no time,,21
18,7,Michael Schumacher,Mercedes,1:34.865,,,22
19,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:35.014,,,17
20,21,Vitaly Petrov,Caterham-Renault,1:35.823,,,18
21,25,Charles Pic,Marussia-Cosworth,1:37.683,,,19
22,22,Pedro de la Rosa,HRT-Cosworth,1:37.883,,,20
23,24,Timo Glock,Marussia-Cosworth,1:37.905,,,23
24,23,Narain Karthikeyan,HRT-Cosworth,1:38.314,,,24
