Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:37.813,1:37.106,1:36.219,1
2,3,Jenson Button,McLaren-Mercedes,1:37.575,1:36.928,1:36.368,2
3,7,Michael Schumacher,Mercedes,1:37.517,1:37.017,1:36.391,3
4,2,Mark Webber,Red Bull-Renault,1:37.172,1:37.375,1:36.461,4
5,9,Kimi Räikkönen,Lotus-Renault,1:37.961,1:36.715,1:36.461,10
6,1,Sebastian Vettel,Red Bull-Renault,1:38.102,1:37.419,1:36.634,5
7,10,Romain Grosjean,Lotus-Renault,1:38.058,1:37.338,1:36.658,6
8,8,Nico Rosberg,Mercedes,1:37.696,1:36.996,1:36.664,7
9,5,Fernando Alonso,Ferrari,1:38.151,1:37.379,1:37.566,8
10,15,Sergio Pérez,Sauber-Ferrari,1:37.933,1:37.477,1:37.698,9
11,18,Pastor Maldonado,Williams-Renault,1:37.789,1:37.589,,11
12,6,Felipe Massa,Ferrari,1:38.381,1:37.731,,12
13,19,Bruno Senna,Williams-Renault,1:38.437,1:37.841,,13
14,11,Paul di Resta,Force India-Mercedes,1:38.325,1:37.877,,14
15,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:38.419,1:37.883,,15
16,12,Nico Hülkenberg,Force India-Mercedes,1:38.303,1:37.890,,16
17,14,Kamui Kobayashi,Sauber-Ferrari,1:38.372,1:38.069,,17
18,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:39.077,,,18
19,20,Heikki Kovalainen,Caterham-Renault,1:39.306,,,24
20,21,Vitaly Petrov,Caterham-Renault,1:39.567,,,19
21,24,Timo Glock,Marussia-Cosworth,1:40.903,,,20
22,25,Charles Pic,Marussia-Cosworth,1:41.250,,,21
23,22,Pedro de la Rosa,HRT-Cosworth,1:42.914,,,22
24,23,Narain Karthikeyan,HRT-Cosworth,1:43.655,,,23
