Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Fernando Alonso,Ferrari,1:16.073,1:38.521,1:40.621,1
2,1,Sebastian Vettel,Red Bull-Renault,1:16.393,1:38.309,1:41.026,2
3,2,Mark Webber,Red Bull-Renault,1:16.500,1:39.382,1:41.496,8
4,7,Michael Schumacher,Mercedes,1:16.686,1:38.010,1:42.459,3
5,12,Nico Hülkenberg,Force India-Mercedes,1:16.271,1:39.467,1:43.501,4
6,18,Pastor Maldonado,Williams-Renault,1:16.181,1:38.731,1:43.950,5
7,3,Jenson Button,McLaren-Mercedes,1:16.507,1:38.659,1:44.113,6
8,4,Lewis Hamilton,McLaren-Mercedes,1:16.221,1:37.365,1:44.186,7
9,11,Paul di Resta,Force India-Mercedes,1:16.352,1:39.703,1:44.889,9
10,9,Kimi Räikkönen,Lotus-Renault,1:15.693,1:39.729,1:45.811,10
11,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:16.516,1:39.789,,11
12,15,Sergio Pérez,Sauber-Ferrari,1:15.726,1:39.933,,17
13,14,Kamui Kobayashi,Sauber-Ferrari,1:16.481,1:39.985,,12
14,6,Felipe Massa,Ferrari,1:16.265,1:40.212,,13
15,10,Romain Grosjean,Lotus-Renault,1:16.685,1:40.574,,19
16,19,Bruno Senna,Williams-Renault,1:16.426,1:40.752,,14
17,8,Nico Rosberg,Mercedes,1:15.988,1:41.551,,21
18,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:16.741,,,15
19,20,Heikki Kovalainen,Caterham-Renault,1:17.620,,,16
20,21,Vitaly Petrov,Caterham-Renault,1:18.531,,,18
21,25,Charles Pic,Marussia-Cosworth,1:19.220,,,20
22,24,Timo Glock,Marussia-Cosworth,1:19.291,,,22
23,22,Pedro de la Rosa,HRT-Cosworth,1:19.912,,,23
24,23,Narain Karthikeyan,HRT-Cosworth,1:20.230,,,24
