Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:48.285,1:46.665,1:46.362,1
2,18,Pastor Maldonado,Williams-Renault,1:49.494,1:47.602,1:46.804,2
3,1,Sebastian Vettel,Red Bull-Renault,1:48.240,1:46.791,1:46.905,3
4,3,Jenson Button,McLaren-Mercedes,1:49.381,1:47.661,1:46.939,4
5,5,Fernando Alonso,Ferrari,1:49.391,1:47.567,1:47.216,5
6,11,Paul di Resta,Force India-Mercedes,1:48.028,1:47.667,1:47.241,6
7,2,Mark Webber,Red Bull-Renault,1:48.717,1:47.513,1:47.475,7
8,10,Romain Grosjean,Lotus-Renault,1:47.668,1:47.529,1:47.788,8
9,7,Michael Schumacher,Mercedes,1:49.546,1:47.823,no time,9
10,8,Nico Rosberg,Mercedes,1:49.463,1:47.943,no time,10
11,12,Nico Hülkenberg,Force India-Mercedes,1:49.547,1:47.975,,11
12,9,Kimi Räikkönen,Lotus-Renault,1:48.169,1:48.261,,12
13,6,Felipe Massa,Ferrari,1:49.767,1:48.344,,13
14,15,Sergio Pérez,Sauber-Ferrari,1:49.055,1:48.505,,14
15,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:49.023,1:48.774,,15
16,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:49.564,1:48.849,,16
17,19,Bruno Senna,Williams-Renault,1:49.809,no time,,22
18,14,Kamui Kobayashi,Sauber-Ferrari,1:49.933,,,17
19,21,Vitaly Petrov,Caterham-Renault,1:50.846,,,18
20,20,Heikki Kovalainen,Caterham-Renault,1:51.137,,,19
21,24,Timo Glock,Marussia-Cosworth,1:51.370,,,20
22,25,Charles Pic,Marussia-Cosworth,1:51.762,,,21
23,23,Narain Karthikeyan,HRT-Cosworth,1:52.372,,,23
24,22,Pedro de la Rosa,HRT-Cosworth,1:53.355,,,24
