Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,2,Mark Webber,Red Bull-Renault,1:38.397,1:38.220,1:37.242,1
2,1,Sebastian Vettel,Red Bull-Renault,1:38.208,1:37.767,1:37.316,2
3,4,Lewis Hamilton,McLaren-Mercedes,1:39.180,1:38.000,1:37.469,3
4,5,Fernando Alonso,Ferrari,1:39.144,1:37.987,1:37.534,4
5,9,Kimi Räikkönen,Lotus-Renault,1:38.887,1:38.227,1:37.625,5
6,6,Felipe Massa,Ferrari,1:38.937,1:38.253,1:37.884,6
7,10,Romain Grosjean,Lotus-Renault,1:38.863,1:38.275,1:37.934,7
8,12,Nico Hülkenberg,Force India-Mercedes,1:38.981,1:38.428,1:38.266,8
9,8,Nico Rosberg,Mercedes,1:38.999,1:38.417,1:38.361,9
10,7,Michael Schumacher,Mercedes,1:38.808,1:38.436,1:38.513,10
11,3,Jenson Button,McLaren-Mercedes,1:38.615,1:38.441,,11
12,15,Sergio Pérez,Sauber-Ferrari,1:38.630,1:38.460,,12
13,14,Kamui Kobayashi,Sauber-Ferrari,1:38.719,1:38.594,,13
14,11,Paul di Resta,Force India-Mercedes,1:38.942,1:38.643,,14
15,18,Pastor Maldonado,Williams-Renault,1:39.024,1:38.725,,15
16,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:38.784,1:39.084,,21
17,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:38.774,1:39.340,,16
18,19,Bruno Senna,Williams-Renault,1:39.443,,,17
19,21,Vitaly Petrov,Caterham-Renault,1:40.207,,,18
20,20,Heikki Kovalainen,Caterham-Renault,1:40.333,,,19
21,25,Charles Pic,Marussia-Cosworth,1:41.317,,,24
22,24,Timo Glock,Marussia-Cosworth,1:41.371,,,20
23,22,Pedro de la Rosa,HRT-Cosworth,1:42.881,,,22
—,23,Narain Karthikeyan,HRT-Cosworth,No time,,,23
