Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Sebastian Vettel,Red Bull-Renault,1:26.387,1:25.435,1:25.283,1
2,2,Mark Webber,Red Bull-Renault,1:26.744,1:25.610,1:25.327,2
3,4,Lewis Hamilton,McLaren-Mercedes,1:26.516,1:25.816,1:25.544,3
4,3,Jenson Button,McLaren-Mercedes,1:26.564,1:25.467,1:25.649,4
5,5,Fernando Alonso,Ferrari,1:26.829,1:25.834,1:25.773,5
6,6,Felipe Massa,Ferrari,1:26.939,1:26.111,1:25.857,6
7,9,Kimi Räikkönen,Lotus-Renault,1:26.740,1:26.101,1:26.236,7
8,15,Sergio Pérez,Sauber-Ferrari,1:27.179,1:26.076,1:26.360,8
9,18,Pastor Maldonado,Williams-Renault,1:26.048,1:25.983,1:26.713,9
10,8,Nico Rosberg,Mercedes,1:26.458,1:25.976,No time,10
11,10,Romain Grosjean,Lotus-Renault,1:26.897,1:26.136,,11
12,12,Nico Hülkenberg,Force India-Mercedes,1:27.185,1:26.241,,12
13,19,Bruno Senna,Williams-Renault,1:26.851,1:26.331,,13
14,7,Michael Schumacher,Mercedes,1:27.482,1:26.574,,14
15,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:27.006,1:26.777,,15
16,11,Paul di Resta,Force India-Mercedes,1:27.462,1:26.989,,16
17,14,Kamui Kobayashi,Sauber-Ferrari,1:27.517,1:27.219,,17
18,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:27.525,,,18
19,21,Vitaly Petrov,Caterham-Renault,1:28.756,,,19
20,20,Heikki Kovalainen,Caterham-Renault,1:29.500,,,20
21,24,Timo Glock,Marussia-Cosworth,1:29.613,,,21
22,22,Pedro de la Rosa,HRT-Cosworth,1:30.592,,,22
23,23,Narain Karthikeyan,HRT-Cosworth,1:30.593,,,23
24,25,Charles Pic,Marussia-Cosworth,1:30.662,,,24
