Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:15.075,1:13.398,1:12.458,1
2,3,Jenson Button,McLaren-Mercedes,1:15.456,1:13.515,1:12.513,2
3,2,Mark Webber,Red Bull-Renault,1:16.180,1:13.667,1:12.581,3
4,1,Sebastian Vettel,Red Bull-Renault,1:15.644,1:13.209,1:12.760,4
5,6,Felipe Massa,Ferrari,1:16.263,1:14.048,1:12.987,5
6,18,Pastor Maldonado,Williams-Renault,1:16.266,1:13.698,1:13.174,16
7,12,Nico Hülkenberg,Force India-Mercedes,1:15.536,1:13.704,1:13.206,6
8,5,Fernando Alonso,Ferrari,1:16.097,1:13.856,1:13.253,7
9,9,Kimi Räikkönen,Lotus-Renault,1:16.432,1:13.698,1:13.298,8
10,8,Nico Rosberg,Mercedes,1:15.929,1:13.848,1:13.489,9
11,11,Paul di Resta,Force India-Mercedes,1:15.901,1:14.121,,10
12,19,Bruno Senna,Williams-Renault,1:15.333,1:14.219,,11
13,15,Sergio Pérez,Sauber-Ferrari,1:15.974,1:14.234,,12
14,7,Michael Schumacher,Mercedes,1:16.005,1:14.334,,13
15,14,Kamui Kobayashi,Sauber-Ferrari,1:16.400,1:14.380,,14
16,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:16.744,1:14.574,,15
17,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:16.722,1:14.619,,17
18,10,Romain Grosjean,Lotus-Renault,1:16.967,,,18
19,21,Vitaly Petrov,Caterham-Renault,1:17.073,,,19
20,20,Heikki Kovalainen,Caterham-Renault,1:17.086,,,20
21,24,Timo Glock,Marussia-Cosworth,1:17.508,,,21
22,25,Charles Pic,Marussia-Cosworth,1:18.104,,,22
23,23,Narain Karthikeyan,HRT-Cosworth,1:19.576,,,23
24,22,Pedro de la Rosa,HRT-Cosworth,1:19.699,,,24
