Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,3,Jenson Button,McLaren-Mercedes,1:49.250,1:47.654,1:47.573,1
2,14,Kamui Kobayashi,Sauber-Ferrari,1:49.686,1:48.569,1:47.871,2
3,18,Pastor Maldonado,Williams-Renault,1:48.993,1:48.780,1:47.893,6
4,9,Kimi Räikkönen,Lotus-Renault,1:49.546,1:48.414,1:48.205,3
5,15,Sergio Pérez,Sauber-Ferrari,1:49.642,1:47.980,1:48.219,4
6,5,Fernando Alonso,Ferrari,1:49.401,1:48.598,1:48.313,5
7,2,Mark Webber,Red Bull-Renault,1:49.859,1:48.546,1:48.392,12
8,4,Lewis Hamilton,McLaren-Mercedes,1:49.605,1:48.563,1:48.394,7
9,10,Romain Grosjean,Lotus-Renault,1:50.126,1:48.714,1:48.538,8
10,11,Paul di Resta,Force India-Mercedes,1:50.033,1:48.729,1:48.890,9
11,1,Sebastian Vettel,Red Bull-Renault,1:49.722,1:48.792,,10
12,12,Nico Hülkenberg,Force India-Mercedes,1:49.362,1:48.855,,11
13,7,Michael Schumacher,Mercedes,1:49.742,1:49.081,,13
14,6,Felipe Massa,Ferrari,1:49.588,1:49.147,,14
15,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:49.763,1:49.354,,15
16,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:49.572,1:49.543,,16
17,19,Bruno Senna,Williams-Renault,1:49.958,1:50.088,,17
18,8,Nico Rosberg,Mercedes,1:50.181,,,23
19,20,Heikki Kovalainen,Caterham-Renault,1:51.739,,,18
20,21,Vitaly Petrov,Caterham-Renault,1:51.967,,,19
21,24,Timo Glock,Marussia-Cosworth,1:52.336,,,20
22,22,Pedro de la Rosa,HRT-Cosworth,1:53.030,,,21
23,25,Charles Pic,Marussia-Cosworth,1:53.493,,,22
24,23,Narain Karthikeyan,HRT-Cosworth,1:54.989,,,24
