Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,4,Lewis Hamilton,McLaren-Mercedes,1:26.800,1:25.626,1:24.922,1
2,3,Jenson Button,McLaren-Mercedes,1:26.832,1:25.663,1:25.074,2
3,10,Romain Grosjean,Lotus-Renault,1:26.498,1:25.845,1:25.302,3
4,7,Michael Schumacher,Mercedes,1:26.586,1:25.571,1:25.336,4
5,2,Mark Webber,Red Bull-Renault,1:27.117,1:26.297,1:25.651,5
6,1,Sebastian Vettel,Red Bull-Renault,1:26.773,1:25.982,1:25.668,6
7,8,Nico Rosberg,Mercedes,1:26.763,1:25.469,1:25.686,7
8,18,Pastor Maldonado,Williams-Renault,1:26.803,1:26.206,1:25.908,8
9,12,Nico Hülkenberg,Force India-Mercedes,1:27.464,1:26.314,1:26.451,9
10,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:27.024,1:26.319,no time,10
11,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:26.493,1:26.429,,11
12,5,Fernando Alonso,Ferrari,1:26.688,1:26.494,,12
13,14,Kamui Kobayashi,Sauber-Ferrari,1:26.182,1:26.590,,13
14,19,Bruno Senna,Williams-Renault,1:27.004,1:26.663,,14
15,11,Paul di Resta,Force India-Mercedes,1:27.469,1:27.086,,15
16,6,Felipe Massa,Ferrari,1:27.633,1:27.497,,16
17,15,Sergio Pérez,Sauber-Ferrari,1:26.596,no time,,22
18,9,Kimi Räikkönen,Lotus-Renault,1:27.758,,,17
19,20,Heikki Kovalainen,Caterham-Renault,1:28.679,,,18
20,21,Vitaly Petrov,Caterham-Renault,1:29.018,,,19
21,24,Timo Glock,Marussia-Cosworth,1:30.923,,,20
22,25,Charles Pic,Marussia-Cosworth,1:31.670,,,21
—,22,Pedro de la Rosa,HRT-Cosworth,1:33.495,,,DNQ
—,23,Narain Karthikeyan,HRT-Cosworth,1:33.643,,,DNQ
