Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,8,Nico Rosberg,Mercedes,1:36.875,1:35.725,1:35.121,1
2,4,Lewis Hamilton,McLaren-Mercedes,1:36.763,1:35.902,1:35.626,7
3,7,Michael Schumacher,Mercedes,1:36.797,1:35.794,1:35.691,2
4,14,Kamui Kobayashi,Sauber-Ferrari,1:36.863,1:35.853,1:35.784,3
5,9,Kimi Räikkönen,Lotus-Renault,1:36.850,1:35.921,1:35.898,4
6,3,Jenson Button,McLaren-Mercedes,1:36.746,1:35.942,1:36.191,5
7,2,Mark Webber,Red Bull-Renault,1:36.682,1:35.700,1:36.290,6
8,15,Sergio Pérez,Sauber-Ferrari,1:36.198,1:35.831,1:36.524,8
9,5,Fernando Alonso,Ferrari,1:36.292,1:35.982,1:36.622,9
10,10,Romain Grosjean,Lotus-Renault,1:36.343,1:35.903,no time,10
11,1,Sebastian Vettel,Red Bull-Renault,1:36.911,1:36.031,,11
12,6,Felipe Massa,Ferrari,1:36.556,1:36.255,,12
13,18,Pastor Maldonado,Williams-Renault,1:36.528,1:36.283,,13
14,19,Bruno Senna,Williams-Renault,1:36.674,1:36.289,,14
15,11,Paul di Resta,Force India-Mercedes,1:36.639,1:36.317,,15
16,12,Nico Hülkenberg,Force India-Mercedes,1:36.921,1:36.745,,16
17,16,Daniel Ricciardo,Toro Rosso-Ferrari,1:36.933,1:36.956,,17
18,17,Jean-Éric Vergne,Toro Rosso-Ferrari,1:37.714,,,24
19,20,Heikki Kovalainen,Caterham-Renault,1:38.463,,,18
20,21,Vitaly Petrov,Caterham-Renault,1:38.677,,,19
21,24,Timo Glock,Marussia-Cosworth,1:39.282,,,20
22,25,Charles Pic,Marussia-Cosworth,1:39.717,,,21
23,22,Pedro de la Rosa,HRT-Cosworth,1:40.411,,,22
24,23,Narain Karthikeyan,HRT-Cosworth,1:41.000,,,23
