Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,19,Felipe Massa,Williams-Mercedes,1:10.292,1:09.239,1:08.759,1
2,77,Valtteri Bottas,Williams-Mercedes,1:10.356,1:09.096,1:08.846,2
3,6,Nico Rosberg,Mercedes,1:09.695,1:08.974,1:08.944,3
4,14,Fernando Alonso,Ferrari,1:10.405,1:09.479,1:09.285,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:10.395,1:09.638,1:09.466,5
6,20,Kevin Magnussen,McLaren-Mercedes,1:10.081,1:09.473,1:09.515,6
7,26,Daniil Kvyat,Toro Rosso-Renault,1:09.678,1:09.490,1:09.619,7
8,7,Kimi Räikkönen,Ferrari,1:10.285,1:09.657,1:10.795,8
9,44,Lewis Hamilton,Mercedes,1:09.514,1:09.092,No time,9
10,27,Nico Hülkenberg,Force India-Mercedes,1:10.389,1:09.624,No time,10
11,11,Sergio Pérez,Force India-Mercedes,1:10.124,1:09.754,,15
12,22,Jenson Button,McLaren-Mercedes,1:10.252,1:09.780,,11
13,1,Sebastian Vettel,Red Bull Racing-Renault,1:10.630,1:09.801,,12
14,13,Pastor Maldonado,Lotus-Renault,1:10.821,1:09.939,,13
15,25,Jean-Éric Vergne,Toro Rosso-Renault,1:10.161,1:10.073,,14
16,8,Romain Grosjean,Lotus-Renault,1:10.461,1:10.642,,PL
17,99,Adrian Sutil,Sauber-Ferrari,1:10.825,,,16
18,21,Esteban Gutiérrez,Sauber-Ferrari,1:11.349,,,17
19,17,Jules Bianchi,Marussia-Ferrari,1:11.412,,,18
20,10,Kamui Kobayashi,Caterham-Renault,1:11.673,,,19
21,4,Max Chilton,Marussia-Ferrari,1:11.775,,,21
22,9,Marcus Ericsson,Caterham-Renault,1:12.673,,,20
