Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:17.678,1:16.465,1:15.989,1
2,44,Lewis Hamilton,Mercedes,1:17.823,1:16.354,1:16.048,2
3,3,Daniel Ricciardo,Red Bull Racing-Renault,1:17.900,1:17.233,1:16.384,3
4,1,Sebastian Vettel,Red Bull Racing-Renault,1:18.383,1:17.074,1:16.547,4
5,14,Fernando Alonso,Ferrari,1:17.853,1:17.200,1:16.686,5
6,7,Kimi Räikkönen,Ferrari,1:17.902,1:17.398,1:17.389,6
7,25,Jean-Éric Vergne,Toro Rosso-Renault,1:17.557,1:17.657,1:17.540,7
8,20,Kevin Magnussen,McLaren-Mercedes,1:17.978,1:17.609,1:17.555,8
9,26,Daniil Kvyat,Toro Rosso-Renault,1:18.616,1:17.594,1:18.090,9
10,11,Sergio Pérez,Force India-Mercedes,1:18.108,1:17.755,1:18.327,10
11,27,Nico Hülkenberg,Force India-Mercedes,1:18.432,1:17.846,N/A,11
12,22,Jenson Button,McLaren-Mercedes,1:17.890,1:17.988,N/A,12
13,77,Valtteri Bottas,Williams-Mercedes,1:18.407,1:18.082,N/A,13
14,8,Romain Grosjean,Lotus-Renault,1:18.335,1:18.196,N/A,14
15,13,Pastor Maldonado,Lotus-Renault,1:18.585,1:18.356,N/A,15
16,19,Felipe Massa,Williams-Mercedes,1:18.209,No Time,N/A,16
17,21,Esteban Gutiérrez,Sauber-Ferrari,1:18.741,N/A,N/A,17
18,99,Adrian Sutil,Sauber-Ferrari,1:18.745,N/A,N/A,18
19,17,Jules Bianchi,Marussia-Ferrari,1:19.332,N/A,N/A,21
20,4,Max Chilton,Marussia-Ferrari,1:19.928,N/A,N/A,19
21,10,Kamui Kobayashi,Caterham-Renault,1:20.133,N/A,N/A,20
22,9,Marcus Ericsson,Caterham-Renault,1:21.732,N/A,N/A,PL
