Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:46.921,1:46.287,1:45.681,1
2,6,Nico Rosberg,Mercedes,1:47.244,1:45.825,1:45.688,2
3,3,Daniel Ricciardo,Red Bull Racing-Renault,1:47.488,1:46.493,1:45.854,3
4,1,Sebastian Vettel,Red Bull Racing-Renault,1:47.476,1:46.586,1:45.902,4
5,14,Fernando Alonso,Ferrari,1:46.889,1:46.328,1:45.907,5
6,19,Felipe Massa,Williams-Mercedes,1:47.615,1:46.472,1:46.000,6
7,7,Kimi Räikkönen,Ferrari,1:46.685,1:46.359,1:46.170,7
8,77,Valtteri Bottas,Williams-Mercedes,1:47.196,1:46.622,1:46.187,8
9,20,Kevin Magnussen,McLaren-Mercedes,1:47.976,1:46.700,1:46.250,9
10,26,Daniil Kvyat,Toro Rosso-Renault,1:47.656,1:46.926,1:47.362,10
11,22,Jenson Button,McLaren-Mercedes,1:47.161,1:46.943,N/A,11
12,25,Jean-Éric Vergne,Toro Rosso-Renault,1:47.407,1:46.989,N/A,12
13,27,Nico Hülkenberg,Force India-Mercedes,1:47.370,1:47.308,N/A,13
14,21,Esteban Gutiérrez,Sauber-Ferrari,1:47.970,1:47.333,N/A,14
15,11,Sergio Pérez,Force India-Mercedes,1:48.143,1:47.575,N/A,15
16,8,Romain Grosjean,Lotus-Renault,1:47.862,1:47.812,N/A,16
17,99,Adrian Sutil,Sauber-Ferrari,1:48.324,N/A,N/A,17
18,13,Pastor Maldonado,Lotus-Renault,1:49.063,N/A,N/A,18
19,17,Jules Bianchi,Marussia-Ferrari,1:49.440,N/A,N/A,19
20,10,Kamui Kobayashi,Caterham-Renault,1:50.405,N/A,N/A,20
21,4,Max Chilton,Marussia-Ferrari,1:50.473,N/A,N/A,21
22,9,Marcus Ericsson,Caterham-Renault,1:52.287,N/A,N/A,22
