Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:25.363,1:24.560,1:24.109,1
2,6,Nico Rosberg,Mercedes,1:25.493,1:24.600,1:24.383,2
3,77,Valtteri Bottas,Williams–Mercedes,1:26.012,1:24.858,1:24.697,3
4,19,Felipe Massa,Williams–Mercedes,1:25.528,1:25.046,1:24.865,4
5,20,Kevin Magnussen,McLaren–Mercedes,1:26.337,1:25.973,1:25.314,5
6,22,Jenson Button,McLaren–Mercedes,1:26.328,1:25.630,1:25.379,6
7,14,Fernando Alonso,Ferrari,1:26.514,1:25.525,1:25.430,7
8,1,Sebastian Vettel,Red Bull Racing–Renault,1:26.631,1:25.769,1:25.436,8
9,3,Daniel Ricciardo,Red Bull Racing–Renault,1:26.721,1:25.946,1:25.709,9
10,11,Sergio Pérez,Force India-Mercedes,1:26.569,1:25.863,1:25.944,10
11,26,Daniil Kvyat,Toro Rosso-Renault,1:26.261,1:26.070,N/A,21
12,7,Kimi Räikkönen,Ferrari,1:26.689,1:26.110,N/A,11
13,25,Jean-Éric Vergne,Toro Rosso-Renault,1:26.140,1:26.157,N/A,12
14,27,Nico Hülkenberg,Force India-Mercedes,1:26.371,1:26.279,N/A,13
15,99,Adrian Sutil,Sauber-Ferrari,1:27.034,1:26.588,N/A,14
16,21,Esteban Gutiérrez,Sauber-Ferrari,1:26.999,1:26.692,N/A,15
17,13,Pastor Maldonado,Lotus-Renault,1:27.520,N/A,N/A,16
18,8,Romain Grosjean,Lotus-Renault,1:27.632,N/A,N/A,17
19,10,Kamui Kobayashi,Caterham-Renault,1:27.671,N/A,N/A,18
20,17,Jules Bianchi,Marussia-Ferrari,1:27.738,N/A,N/A,19
21,4,Max Chilton,Marussia-Ferrari,1:28.247,N/A,N/A,20
22,9,Marcus Ericsson,Caterham-Renault,1:28.562,N/A,N/A,22
