Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:41.308,1:41.459,1:40.480,1
2,44,Lewis Hamilton,Mercedes,1:41.207,1:40.920,1:40.866,2
3,77,Valtteri Bottas,Williams-Mercedes,1:42.346,1:41.376,1:41.025,3
4,19,Felipe Massa,Williams-Mercedes,1:41.475,1:41.144,1:41.119,4
5,26,Daniil Kvyat,Toro Rosso-Renault,1:42.302,1:42.082,1:41.908,5
6,22,Jenson Button,McLaren-Mercedes,1:42.137,1:41.875,1:41.964,6
7,7,Kimi Räikkönen,Ferrari,1:42.439,1:42.168,1:42.236,7
8,14,Fernando Alonso,Ferrari,1:42.467,1:41.940,1:42.866,8
9,20,Kevin Magnussen,McLaren-Mercedes,1:42.104,1:42.198,,9
10,25,Jean-Éric Vergne,Toro Rosso-Renault,1:42.413,1:42.207,,10
11,11,Sergio Pérez,Force India-Mercedes,1:42.654,1:42.239,,11
12,27,Nico Hülkenberg,Force India-Mercedes,1:42.444,1:42.384,,12
13,99,Adrian Sutil,Sauber-Ferrari,1:42.746,1:43.074,,13
14,8,Romain Grosjean,Lotus-Renault,1:42.768,,,18
15,21,Esteban Gutiérrez,Sauber-Ferrari,1:42.819,,,14
16,13,Pastor Maldonado,Lotus-Renault,1:42.860,,,15
17,10,Kamui Kobayashi,Caterham-Renault,1:44.540,,,16
18,46,Will Stevens,Caterham-Renault,1:45.095,,,17
EX,1,Sebastian Vettel,Red Bull Racing-Renault,1:42.495,1:42.147,1:41.893,19
EX,3,Daniel Ricciardo,Red Bull Racing-Renault,1:42.204,1:41.692,1:41.267,20
