Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:40.380,1:35.179,1:35.766,1
2,1,Sebastian Vettel,Red Bull Racing-Renault,1:45.086,1:36.410,1:37.386,2
3,22,Jenson Button,McLaren-Mercedes,1:44.425,1:36.579,1:38.200,3
4,27,Nico Hülkenberg,Force India-Mercedes,1:41.271,1:37.112,1:38.329,4
5,20,Kevin Magnussen,McLaren-Mercedes,1:42.507,1:37.370,1:38.417,5
6,44,Lewis Hamilton,Mercedes,1:41.058,1:34.870,1:39.232,6
7,11,Sergio Pérez,Force India-Mercedes,1:42.146,1:37.350,1:40.457,7
8,3,Daniel Ricciardo,Red Bull Racing-Renault,1:44.710,1:38.166,1:40.606,8
9,26,Daniil Kvyat,Toro Rosso-Renault,1:41.032,1:36.813,1:40.707,9
10,25,Jean-Éric Vergne,Toro Rosso-Renault,1:43.040,1:37.800,1:40.855,10
11,8,Romain Grosjean,Lotus-Renault,1:43.121,1:38.496,N/A,11
12,17,Jules Bianchi,Marussia-Ferrari,1:41.169,1:38.709,N/A,12
13,4,Max Chilton,Marussia-Ferrari,1:42.082,1:39.800,N/A,17
14,21,Esteban Gutiérrez,Sauber-Ferrari,1:43.285,1:40.912,N/A,19
EX,13,Pastor Maldonado,Lotus-Renault,1:43.892,1:44.018,N/A,20
16,99,Adrian Sutil,Sauber-Ferrari,1:42.603,No time,N/A,13
17,77,Valtteri Bottas,Williams-Mercedes,1:45.318,N/A,N/A,14
18,19,Felipe Massa,Williams-Mercedes,1:45.695,N/A,N/A,15
19,14,Fernando Alonso,Ferrari,1:45.935,N/A,N/A,16
20,7,Kimi Räikkönen,Ferrari,1:46.684,N/A,N/A,18
21,9,Marcus Ericsson,Caterham-Renault,1:49.421,N/A,N/A,21
22,10,Kamui Kobayashi,Caterham-Renault,1:49.625,N/A,N/A,22
