Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,2:07.130,2:06.723,2:05.591,1
2,44,Lewis Hamilton,Mercedes,2:07.280,2:06.609,2:05.819,2
3,1,Sebastian Vettel,Red Bull Racing-Renault,2:10.105,2:08.868,2:07.717,3
4,14,Fernando Alonso,Ferrari,2:10.197,2:08.450,2:07.786,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,2:10.089,2:08.989,2:07.911,5
6,77,Valtteri Bottas,Williams-Mercedes,2:09.250,2:08.451,2:08.049,6
7,20,Kevin Magnussen,McLaren-Mercedes,2:11.081,2:08.901,2:08.679,7
8,7,Kimi Räikkönen,Ferrari,2:09.885,2:08.646,2:08.780,8
9,19,Felipe Massa,Williams-Mercedes,2:08.403,2:08.833,2:09.178,9
10,22,Jenson Button,McLaren-Mercedes,2:10.529,2:09.272,2:09.776,10
11,26,Daniil Kvyat,Toro Rosso-Renault,2:10.445,2:09.377,N/A,11
12,25,Jean-Éric Vergne,Toro Rosso-Renault,2:09.811,2:09.805,N/A,12
13,11,Sergio Pérez,Force India-Mercedes,2:10.666,2:10.084,N/A,13
14,99,Adrian Sutil,Sauber-Ferrari,2:11.051,2:10.238,N/A,14
15,8,Romain Grosjean,Lotus-Renault,2:10.898,2:11.087,N/A,15
16,17,Jules Bianchi,Marussia-Ferrari,2:11.051,2:12.470,N/A,16
17,13,Pastor Maldonado,Lotus-Renault,2:11.261,N/A,N/A,17
18,27,Nico Hülkenberg,Force India-Mercedes,2:11.267,N/A,N/A,18
19,4,Max Chilton,Marussia-Ferrari,2:12.566,N/A,N/A,19
20,21,Esteban Gutiérrez,Sauber-Ferrari,2:13.414,N/A,N/A,20
21,45,André Lotterer,Caterham-Renault,2:13.469,N/A,N/A,21
22,9,Marcus Ericsson,Caterham-Renault,2:14.438,N/A,N/A,22
