Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:33.671,1:32.950,1:32.506,1
2,44,Lewis Hamilton,Mercedes,1:33.611,1:32.982,1:32.703,2
3,77,Valtteri Bottas,Williams-Mercedes,1:34.301,1:33.443,1:33.128,3
4,19,Felipe Massa,Williams-Mercedes,1:34.483,1:33.551,1:33.527,4
5,14,Fernando Alonso,Ferrari,1:34.497,1:33.675,1:33.740,5
6,3,Daniel Ricciardo,Red Bull Racing-Renault,1:35.593,1:34.466,1:34.075,6
7,20,Kevin Magnussen,McLaren-Mercedes,1:34.930,1:34.229,1:34.242,7
8,22,Jenson Button,McLaren-Mercedes,1:35.150,1:34.648,1:34.317,8
9,1,Sebastian Vettel,Red Bull Racing-Renault,1:35.517,1:34.784,1:34.432,9
10,7,Kimi Räikkönen,Ferrari,1:34.984,1:34.771,1:34.548,10
11,25,Jean-Éric Vergne,Toro Rosso-Renault,1:35.155,1:34.984,N/A,20
12,11,Sergio Pérez,Force India-Mercedes,1:35.439,1:35.089,N/A,11
13,26,Daniil Kvyat,Toro Rosso-Renault,1:35.210,1:35.092,N/A,12
14,27,Nico Hülkenberg,Force India-Mercedes,1:35.000,1:35.099,N/A,13
15,99,Adrian Sutil,Sauber-Ferrari,1:35.736,1:35.364,N/A,14
16,21,Esteban Gutiérrez,Sauber-Ferrari,1:35.308,1:35.681,N/A,15
17,13,Pastor Maldonado,Lotus-Renault,1:35.917,N/A,N/A,22
18,8,Romain Grosjean,Lotus-Renault,1:35.984,N/A,N/A,16
19,9,Marcus Ericsson,Caterham-Renault,1:36.813,N/A,N/A,17
20,17,Jules Bianchi,Marussia-Ferrari,1:36.943,N/A,N/A,18
21,10,Kamui Kobayashi,Caterham-Renault,1:37.015,N/A,N/A,19
22,4,Max Chilton,Marussia-Ferrari,1:37.481,N/A,N/A,21
