Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,6,Nico Rosberg,Mercedes,1:17.631,1:17.109,1:16.540,1
2,77,Valtteri Bottas,Williams-Mercedes,1:18.215,1:17.353,1:16.759,2
3,19,Felipe Massa,Williams-Mercedes,1:18.381,1:17.370,1:17.078,3
4,20,Kevin Magnussen,McLaren-Mercedes,1:18.260,1:17.788,1:17.214,4
5,3,Daniel Ricciardo,Red Bull Racing-Renault,1:18.117,1:17.855,1:17.273,5
6,1,Sebastian Vettel,Red Bull Racing-Renault,1:18.194,1:17.646,1:17.577,6
7,14,Fernando Alonso,Ferrari,1:18.389,1:17.866,1:17.649,7
8,26,Daniil Kvyat,Toro Rosso-Renault,1:18.530,1:18.103,1:17.965,8
9,27,Nico Hülkenberg,Force India-Mercedes,1:18.927,1:18.017,1:18.014,9
10,11,Sergio Pérez,Force India-Mercedes,1:18.916,1:18.161,1:18.035,10
11,22,Jenson Button,McLaren-Mercedes,1:18.425,1:18.193,,11
12,7,Kimi Räikkönen,Ferrari,1:18.534,1:18.273,,12
13,25,Jean-Éric Vergne,Toro Rosso-Renault,1:18.496,1:18.285,,13
14,21,Esteban Gutiérrez,Sauber-Ferrari,1:18.739,1:18.787,,16
15,8,Romain Grosjean,Lotus-Renault,1:18.894,1:18.983,,14
16,44,Lewis Hamilton,Mercedes,1:18.683,no time,,20
17,99,Adrian Sutil,Sauber-Ferrari,1:19.142,,,15
18,17,Jules Bianchi,Marussia-Ferrari,1:19.676,,,17
19,13,Pastor Maldonado,Lotus-Renault,1:20.195,,,18
20,10,Kamui Kobayashi,Caterham-Renault,1:20.408,,,19
21,4,Max Chilton,Marussia-Ferrari,1:20.489,,,21
NC,9,Marcus Ericsson,Caterham-Renault,no time,,,PL
