Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:31.699,1:42.890,1:44.231,1
2,3,Daniel Ricciardo,Red Bull Racing-Renault,1:30.775,1:42.295,1:44.548,2
3,6,Nico Rosberg,Mercedes,1:32.564,1:42.264,1:44.595,3
4,20,Kevin Magnussen,McLaren-Mercedes,1:30.949,1:43.247,1:45.745,4
5,14,Fernando Alonso,Ferrari,1:31.388,1:42.805,1:45.819,5
6,25,Jean-Éric Vergne,Toro Rosso-Renault,1:33.488,1:43.849,1:45.864,6
7,27,Nico Hülkenberg,Force India-Mercedes,1:33.893,1:43.658,1:46.030,7
8,26,Daniil Kvyat,Toro Rosso-Renault,1:33.777,1:44.331,1:47.368,8
9,19,Felipe Massa,Williams-Mercedes,1:31.228,1:44.242,1:48.079,9
10,77,Valtteri Bottas,Williams-Mercedes,1:31.601,1:43.852,1:48.147,15
11,22,Jenson Button,McLaren-Mercedes,1:31.396,1:44.437,,10
12,7,Kimi Räikkönen,Ferrari,1:32.439,1:44.494,,11
13,1,Sebastian Vettel,Red Bull Racing-Renault,1:31.931,1:44.668,,12
14,99,Adrian Sutil,Sauber-Ferrari,1:33.673,1:45.655,,13
15,10,Kamui Kobayashi,Caterham-Renault,1:34.274,1:45.867,,14
16,11,Sergio Pérez,Force India-Mercedes,1:34.141,1:47.293,,16
17,4,Max Chilton,Marussia-Ferrari,1:34.293,,,PL
18,17,Jules Bianchi,Marussia-Ferrari,1:34.794,,,PL
19,21,Esteban Gutiérrez,Sauber-Ferrari,1:35.117,,,20
20,9,Marcus Ericsson,Caterham-Renault,1:35.157,,,19
21,8,Romain Grosjean,Lotus-Renault,1:36.993,,,PL
NC,13,Pastor Maldonado,Lotus-Renault,No time,,,21
