Pos.,No.,Driver,Team,Time,Grid
1,2,Sergey Sirotkin,ART Grand Prix,1:13.663,1
2,20,Antonio Giovinazzi,Prema Racing,1:13.669,2
3,21,Pierre Gasly,Prema Racing,1:13.803,3
4,15,Luca Ghiotto,Trident,1:14.091,4
5,10,Artem Markelov,Russian Time,1:14.099,5
6,9,Raffaele Marciello,Russian Time,1:14.184,6
7,22,Oliver Rowland,MP Motorsport,1:14.316,7
8,5,Alex Lynn,DAMS,1:14.387,8
9,3,Norman Nato,Racing Engineering,1:14.456,9
10,7,Mitch Evans,Pertamina Campos Racing,1:14.574,10
11,24,Nabil Jeffri,Arden International,1:14.626,14
12,19,Marvin Kirchhöfer,Carlin,1:14.647,11
13,12,Arthur Pic,Rapax,1:14.688,12
14,4,Jordan King,Racing Engineering,1:14.815,13
15,18,Sergio Canamasas,Carlin,1:14.832,17
16,1,René Binder,ART Grand Prix,1:14.886,15
17,6,Nicholas Latifi,DAMS,1:14.958,20
18,11,Gustav Malja,Rapax,1:15.020,16
19,8,Sean Gelael,Pertamina Campos Racing,1:15.112,18
20,23,Daniël de Jong,MP Motorsport,1:15.307,19
21,25,Jimmy Eriksson,Arden International,1:15.531,PL4
22,14,Philo Paz Armand,Trident,1:15.675,21
