Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,1:37.356,1:36.822,1:36.231,1
2,44,Lewis Hamilton,Mercedes,1:37.391,1:36.742,1:36.403,2
3,5,Sebastian Vettel,Ferrari,1:37.817,1:37.023,1:36.777,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:38.016,1:37.583,1:36.959,4
5,7,Kimi Räikkönen,Ferrari,1:37.453,1:37.302,1:36.985,5
6,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:38.021,1:37.777,1:37.328,6
7,27,Nico Hülkenberg,Renault,1:38.781,1:38.138,1:38.282,7
8,11,Sergio Pérez,Force India-Mercedes,1:38.601,1:38.359,1:38.374,8
9,31,Esteban Ocon,Force India-Mercedes,1:38.896,1:38.392,1:38.397,9
10,19,Felipe Massa,Williams-Mercedes,1:38.629,1:38.565,1:38.550,10
11,14,Fernando Alonso,McLaren-Honda,1:38.820,1:38.636,,11
12,55,Carlos Sainz Jr.,Renault,1:38.810,1:38.725,,12
13,2,Stoffel Vandoorne,McLaren-Honda,1:38.777,1:38.808,,13
14,20,Kevin Magnussen,Haas-Ferrari,1:39.395,1:39.298,,14
15,18,Lance Stroll,Williams-Mercedes,1:39.503,1:39.646,,15
16,8,Romain Grosjean,Haas-Ferrari,1:39.516,,,16
17,10,Pierre Gasly,Toro Rosso,1:39.724,,,17
18,94,Pascal Wehrlein,Sauber-Ferrari,1:39.930,,,18
19,9,Marcus Ericsson,Sauber-Ferrari,1:39.994,,,19
20,28,Brendon Hartley,Toro Rosso,1:40.471,,,20
