Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:31.605,1:30.977,1:30.076,1
2,7,Kimi Räikkönen,Ferrari,1:32.259,1:30.926,1:30.121,2
3,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:31.920,1:30.931,1:30.541,3
4,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:32.416,1:31.061,1:30.595,4
5,77,Valtteri Bottas,Mercedes,1:32.254,1:30.803,1:30.758,5
6,31,Esteban Ocon,Force India-Mercedes,1:32.527,1:31.651,1:31.478,6
7,2,Stoffel Vandoorne,McLaren-Honda,1:32.838,1:31.848,1:31.582,7
8,27,Nico Hülkenberg,Renault,1:32.586,1:31.778,1:31.607,8
9,11,Sergio Pérez,Force India-Mercedes,1:32.768,1:31.484,1:31.658,9
10,14,Fernando Alonso,McLaren-Honda,1:33.049,1:32.010,1:31.704,10
11,19,Felipe Massa,Williams-Mercedes,1:32.267,1:32.034,,11
12,30,Jolyon Palmer,Renault,1:32.576,1:32.100,,12
13,18,Lance Stroll,Williams-Mercedes,1:33.000,1:32.307,,13
14,55,Carlos Sainz Jr.,Toro Rosso,1:32.650,1:32.402,,14
15,10,Pierre Gasly,Toro Rosso,1:32.547,1:32.558,,15
16,8,Romain Grosjean,Haas-Ferrari,1:33.308,,,16
17,20,Kevin Magnussen,Haas-Ferrari,1:33.434,,,17
18,94,Pascal Wehrlein,Sauber-Ferrari,1:33.483,,,18
19,9,Marcus Ericsson,Sauber-Ferrari,1:33.970,,,19
—,5,Sebastian Vettel,Ferrari,No time,,,20
