Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:44.184,1:42.927,1:42.553,1
2,5,Sebastian Vettel,Ferrari,1:44.275,1:43.987,1:42.795,2
3,77,Valtteri Bottas,Mercedes,1:44.773,1:43.249,1:43.094,3
4,7,Kimi Räikkönen,Ferrari,1:44.729,1:43.700,1:43.270,4
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:44.535,1:43.940,1:43.380,5
6,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:45.114,1:44.224,1:43.863,6
7,27,Nico Hülkenberg,Renault,1:45.280,1:44.988,1:44.982,7
8,11,Sergio Pérez,Force India-Mercedes,1:45.591,1:44.894,1:45.244,8
9,31,Esteban Ocon,Force India-Mercedes,1:45.277,1:45.006,1:45.369,9
10,30,Jolyon Palmer,Renault,1:45.447,1:44.685,No time,14
11,14,Fernando Alonso,McLaren-Honda,1:45.668,1:45.090,,10
12,8,Romain Grosjean,Haas-Ferrari,1:45.728,1:45.133,,11
13,20,Kevin Magnussen,Haas-Ferrari,1:45.535,1:45.400,,12
14,55,Carlos Sainz Jr.,Toro Rosso,1:45.374,1:45.439,,13
15,2,Stoffel Vandoorne,McLaren-Honda,1:45.441,No time,,20
16,19,Felipe Massa,Williams-Mercedes,1:45.823,,,16
17,26,Daniil Kvyat,Toro Rosso,1:46.028,,,19
18,18,Lance Stroll,Williams-Mercedes,1:46.915,,,15
19,9,Marcus Ericsson,Sauber-Ferrari,1:47.214,,,17
20,94,Pascal Wehrlein,Sauber-Ferrari,1:47.679,,,18
