Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:39.069,1:27.893,1:26.600,1
2,7,Kimi Räikkönen,Ferrari,1:40.455,1:28.992,1:27.147,2
3,5,Sebastian Vettel,Ferrari,1:39.962,1:28.978,1:27.356,3
4,77,Valtteri Bottas,Mercedes,1:39.698,1:28.732,1:27.376,9
5,33,Max Verstappen,Red Bull Racing-TAG Heuer,1:38.912,1:29.431,1:28.130,4
6,27,Nico Hülkenberg,Renault,1:39.201,1:29.340,1:28.856,5
7,11,Sergio Pérez,Force India-Mercedes,1:42.009,1:29.824,1:28.902,6
8,31,Esteban Ocon,Force India-Mercedes,1:39.738,1:29.701,1:29.074,7
9,2,Stoffel Vandoorne,McLaren-Honda,1:40.011,1:30.105,1:29.418,8
10,8,Romain Grosjean,Haas-Ferrari,1:42.042,1:29.966,1:29.549,10
11,30,Jolyon Palmer,Renault,1:41.404,1:30.193,,11
12,26,Daniil Kvyat,Toro Rosso,1:41.726,1:30.355,,12
13,14,Fernando Alonso,McLaren-Honda,1:37.598,1:30.600,,20
14,55,Carlos Sainz Jr.,Toro Rosso,1:41.114,1:31.368,,13
15,19,Felipe Massa,Williams-Mercedes,1:41.874,1:31.482,,14
16,18,Lance Stroll,Williams-Mercedes,1:42.573,,,15
17,20,Kevin Magnussen,Haas-Ferrari,1:42.577,,,16
18,94,Pascal Wehrlein,Sauber-Ferrari,1:42.593,,,17
19,9,Marcus Ericsson,Sauber-Ferrari,1:42.633,,,18
20,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,1:42.966,,,19
