Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:28.466,1:27.712,1:27.511,1
2,77,Valtteri Bottas,Mercedes,1:28.067,1:28.054,1:27.622,2
3,33,Max Verstappen,Red Bull Racing-Honda,1:28.285,1:27.953,1:27.653,3
4,16,Charles Leclerc,Ferrari,1:28.310,1:28.459,1:28.054,4
5,11,Sergio Pérez,Red Bull Racing-Honda,1:28.021,1:27.946,1:28.123,5
6,10,Pierre Gasly,AlphaTauri-Honda,1:28.401,1:28.314,1:28.125,6
7,4,Lando Norris,McLaren-Mercedes,1:28.338,1:28.344,1:28.180,7
8,22,Yuki Tsunoda,AlphaTauri-Honda,1:28.503,1:28.222,1:28.442,8
9,31,Esteban Ocon,Alpine-Renault,1:28.752,1:28.564,1:28.647,9
10,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:28.889,1:28.616,1:28.754,10
11,3,Daniel Ricciardo,McLaren-Mercedes,1:28.216,1:28.668,N/A,11
12,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:28.856,1:28.885,N/A,12
13,14,Fernando Alonso,Alpine-Renault,1:28.944,1:28.920,N/A,13
14,63,George Russell,Williams-Mercedes,1:28.926,1:29.054,N/A,14
15,55,Carlos Sainz Jr.,Ferrari,1:28.236,1:53.652,N/A,15
16,6,Nicholas Latifi,Williams-Mercedes,1:29.177,N/A,N/A,16
17,5,Sebastian Vettel,Aston Martin-Mercedes,1:29.198,N/A,N/A,17
18,18,Lance Stroll,Aston Martin-Mercedes,1:29.368,N/A,N/A,18
19,47,Mick Schumacher,Haas-Ferrari,1:29.464,N/A,N/A,19
20,9,Nikita Mazepin,Haas-Ferrari,1:30.473,N/A,N/A,20
