Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,33,Max Verstappen,Red Bull Racing-Honda,1:58.717,1:56.559,1:59.765,1
2,63,George Russell,Williams-Mercedes,1:59.864,1:56.950,2:00.086,2
3,44,Lewis Hamilton,Mercedes,1:59.218,1:56.229,2:00.099,3
4,3,Daniel Ricciardo,McLaren-Mercedes,2:01.583,1:57.127,2:00.864,4
5,5,Sebastian Vettel,Aston Martin-Mercedes,2:00.175,1:56.814,2:00.935,5
6,10,Pierre Gasly,AlphaTauri-Honda,2:00.387,1:56.440,2:01.164,6
7,11,Sergio Pérez,Red Bull Racing-Honda,1:59.334,1:56.886,2:02.112,7
8,77,Valtteri Bottas,Mercedes,1:59.870,1:56.295,2:02.502,13
9,31,Esteban Ocon,Alpine-Renault,2:01.824,1:57.354,2:03.513,8
10,4,Lando Norris,McLaren-Mercedes,1:58.301,1:56.025,No time,15
11,16,Charles Leclerc,Ferrari,2:00.728,1:57.721,N/A,9
12,6,Nicholas Latifi,Williams-Mercedes,2:00.966,1:58.056,N/A,10
13,55,Carlos Sainz Jr.,Ferrari,2:01.184,1:58.137,N/A,11
14,14,Fernando Alonso,Alpine-Renault,2:01.653,1:58.205,N/A,12
15,18,Lance Stroll,Aston Martin-Mercedes,2:01.597,1:58.231,N/A,19
16,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,2:02.306,N/A,N/A,14
17,22,Yuki Tsunoda,AlphaTauri-Honda,2:02.413,N/A,N/A,16
18,47,Mick Schumacher,Haas-Ferrari,2:03.973,N/A,N/A,17
19,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,2:04.452,N/A,N/A,PL
20,9,Nikita Mazepin,Haas-Ferrari,2:04.939,N/A,N/A,18
