Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,1,Max Verstappen,Red Bull Racing-RBPT,1:11.317,1:10.927,1:10.342,1
2,16,Charles Leclerc,Ferrari,1:11.443,1:10.988,1:10.363,2
3,55,Carlos Sainz Jr.,Ferrari,1:11.767,1:10.814,1:10.434,3
4,44,Lewis Hamilton,Mercedes,1:11.331,1:11.075,1:10.648,4
5,11,Sergio Pérez,Red Bull Racing-RBPT,1:11.641,1:11.314,1:11.077,5
6,63,George Russell,Mercedes,1:11.561,1:10.824,1:11.147,6
7,4,Lando Norris,McLaren-Mercedes,1:11.556,1:11.116,1:11.174,7
8,47,Mick Schumacher,Haas-Ferrari,1:11.741,1:11.420,1:11.442,8
9,22,Yuki Tsunoda,AlphaTauri-RBPT,1:11.427,1:11.428,1:12.556,9
10,18,Lance Stroll,Aston MartinAramco-Mercedes,1:11.568,1:11.416,No time,10
11,10,Pierre Gasly,AlphaTauri-RBPT,1:11.705,1:11.512,N/A,11
12,31,Esteban Ocon,Alpine-Renault,1:11.748,1:11.605,N/A,12
13,14,Fernando Alonso,Alpine-Renault,1:11.667,1:11.613,N/A,13
14,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:11.826,1:11.704,N/A,14
15,23,Alexander Albon,Williams-Mercedes,1:11.695,1:11.802,N/A,15
16,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:11.961,N/A,N/A,16
17,3,Daniel Ricciardo,McLaren-Mercedes,1:12.081,N/A,N/A,17
18,20,Kevin Magnussen,Haas-Ferrari,1:12.319,N/A,N/A,18
19,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:12.391,N/A,N/A,19
20,6,Nicholas Latifi,Williams-Mercedes,1:13.353,N/A,N/A,20
