Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,55,Carlos Sainz Jr.,Ferrari,1:40.190,1:41.602,1:40.983,1
2,1,Max Verstappen,Red Bull Racing-RBPT,1:39.129,1:40.655,1:41.055,2
3,16,Charles Leclerc,Ferrari,1:39.846,1:41.247,1:41.298,3
4,11,Sergio Pérez,Red Bull Racing-RBPT,1:40.521,1:42.513,1:41.616,4
5,44,Lewis Hamilton,Mercedes,1:40.428,1:41.062,1:41.995,5
6,4,Lando Norris,McLaren-Mercedes,1:41.515,1:41.821,1:42.084,6
7,14,Fernando Alonso,Alpine-Renault,1:41.598,1:42.209,1:42.116,7
8,63,George Russell,Mercedes,1:40.028,1:41.725,1:42.161,8
9,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:40.791,1:42.640,1:42.719,9
10,6,Nicholas Latifi,Williams-Mercedes,1:41.998,1:43.273,2:03.095,10
11,10,Pierre Gasly,AlphaTauri-RBPT,1:41.680,1:43.702,N/A,11
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:41.396,1:44.232,N/A,12
13,22,Yuki Tsunoda,AlphaTauri-RBPT,1:41.893,1:44.311,N/A,13
14,3,Daniel Ricciardo,McLaren-Mercedes,1:41.933,1:44.355,N/A,14
15,31,Esteban Ocon,Alpine-Renault,1:41.730,1:45.190,N/A,15
16,23,Alexander Albon,Williams-Mercedes,1:42.078,N/A,N/A,16
17,20,Kevin Magnussen,Haas-Ferrari,1:42.159,N/A,N/A,17
18,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:42.666,N/A,N/A,18
19,47,Mick Schumacher,Haas-Ferrari,1:42.708,N/A,N/A,19
20,18,Lance Stroll,Aston MartinAramco-Mercedes,1:43.430,N/A,N/A,20
