Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:31.727,1:31.216,1:30.872,1
2,1,Max Verstappen,Red Bull Racing-RBPT,1:31.891,1:31.990,1:31.176,2
3,11,Sergio Pérez,Red Bull Racing-RBPT,1:32.354,1:32.120,1:31.335,3
4,44,Lewis Hamilton,Mercedes,1:33.041,1:32.274,1:31.765,4
5,4,Lando Norris,McLaren-Mercedes,1:32.672,1:32.777,1:32.032,5
6,63,George Russell,Mercedes,1:33.109,1:32.633,1:32.131,6
7,14,Fernando Alonso,Alpine-Renault,1:32.819,1:32.631,1:32.552,7
8,22,Yuki Tsunoda,AlphaTauri-RBPT,1:33.394,1:32.836,1:32.780,8
9,55,Carlos Sainz Jr.,Ferrari,1:32.297,1:31.081,No time,19
10,20,Kevin Magnussen,Haas-Ferrari,1:32.756,1:32.649,No time,20
11,3,Daniel Ricciardo,McLaren-Mercedes,1:33.404,1:32.922,N/A,9
12,31,Esteban Ocon,Alpine-Renault,1:33.346,1:33.048,N/A,10
13,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:33.034,1:33.052,N/A,11
14,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:33.285,1:33.276,N/A,12
15,23,Alexander Albon,Williams-Mercedes,1:33.423,1:33.307,N/A,13
16,10,Pierre Gasly,AlphaTauri-RBPT,1:33.439,N/A,N/A,14
17,18,Lance Stroll,Aston MartinAramco-Mercedes,1:33.439,N/A,N/A,15
18,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:33.674,N/A,N/A,16
19,47,Mick Schumacher,Haas-Ferrari,1:33.701,N/A,N/A,17
20,6,Nicholas Latifi,Williams-Mercedes,1:33.794,N/A,N/A,18
