Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:12.569,1:11.864,1:11.376,1
2,55,Carlos Sainz Jr.,Ferrari,1:12.616,1:12.074,1:11.601,2
3,11,Sergio Pérez,Red Bull Racing-RBPT,1:13.004,1:11.954,1:11.629,3
4,1,Max Verstappen,Red Bull Racing-RBPT,1:12.993,1:12.117,1:11.666,4
5,4,Lando Norris,McLaren-Mercedes,1:12.927,1:12.266,1:11.849,5
6,63,George Russell,Mercedes,1:12.787,1:12.617,1:12.112,6
7,14,Fernando Alonso,Alpine-Renault,1:13.394,1:12.688,1:12.247,7
8,44,Lewis Hamilton,Mercedes,1:13.444,1:12.595,1:12.560,8
9,5,Sebastian Vettel,Aston MartinAramco-Mercedes,1:13.313,1:12.613,1:12.732,9
10,31,Esteban Ocon,Alpine-Renault,1:12.848,1:12.528,1:13.047,10
11,22,Yuki Tsunoda,AlphaTauri-RBPT,1:13.110,1:12.797,N/A,11
12,77,Valtteri Bottas,Alfa Romeo-Ferrari,1:13.541,1:12.909,N/A,12
13,20,Kevin Magnussen,Haas-Ferrari,1:13.069,1:12.921,N/A,13
14,3,Daniel Ricciardo,McLaren-Mercedes,1:13.338,1:12.964,N/A,14
15,47,Mick Schumacher,Haas-Ferrari,1:13.469,1:13.081,N/A,15
16,23,Alexander Albon,Williams-Mercedes,1:13.611,N/A,N/A,16
17,10,Pierre Gasly,AlphaTauri-RBPT,1:13.660,N/A,N/A,17
18,18,Lance Stroll,Aston MartinAramco-Mercedes,1:13.678,N/A,N/A,18
19,6,Nicholas Latifi,Williams-Mercedes,1:14.403,N/A,N/A,19
20,24,Zhou Guanyu,Alfa Romeo-Ferrari,1:15.606,N/A,N/A,20
