Pos,No.,Driver,Team,Q1 Time,Rank,Q2 Time,Rank,Gap,Grid
1,6,Jüri Vips,Hitech Grand Prix,2:06.943,3,2:04.997,1,—,1
2,5,Robert Shwartzman,SJM Prema Theodore Racing,2:08.083,9,2:05.376,2,+0.379,2
3,25,Callum Ilott,Sauber Junior Team by Charouz,2:07.781,7,2:05.580,3,+0.583,3
4,9,Christian Lundgaard,ART Grand Prix,2:08.250,10,2:05.669,4,+0.672,4
5,21,Richard Verschoor,MP Motorsport,2:08.578,14,2:05.723,5,+0.726,5
6,16,Jake Hughes,HWA Racelab,2:06.793,1,2:05.774,6,+0.777,6
7,3,Frederik Vesti,SJM Prema Theodore Racing,2:07.903,8,2:05.776,7,+0.779,7
8,22,Arjun Maini,Jenzer Motorsport,2:08.644,15,2:05.814,8,+0.817,8
9,2,Marcus Armstrong,SJM Prema Theodore Racing,2:07.285,4,2:05.955,9,+0.958,9
10,28,Logan Sargeant,Carlin Buzz Racing,2:07.412,5,2:06.043,10,+1.046,10
11,10,Ferdinand Habsburg,ART Grand Prix,2:09.490,19,2:06.209,11,+1.212,11
12,7,Max Fewtrell,Hitech Grand Prix,2:16.536,29,2:06.368,12,+1.371,12
13,30,Dan Ticktum,Carlin Buzz Racing,2:07.600,6,2:06.406,13,+1.409,13
14,15,Alessio Lorandi,Trident Motorsport,2:08.357,12,2:06.428,14,+1.431,14
15,20,Liam Lawson,MP Motorsport,2:09.296,18,2:06.455,15,+1.458,15
16,29,Felipe Drugovich,Carlin Buzz Racing,2:08.487,13,2:06.637,16,+1.640,16
17,12,Olli Caldwell,Trident Motorsport,2:12.105,27,2:06.641,17,+1.644,17
18,11,Sebastián Fernández,ART Grand Prix,2:09.052,16,2:06.717,18,+1.720,18
19,14,David Beckmann,Trident Motorsport,2:06.844,2,2:08.273,24,+1.847,19
20,32,Enaam Ahmed,Campos Racing,2:09.211,17,2:07.146,19,+2.149,20
21,8,Yuki Tsunoda,Hitech Grand Prix,—,30,2:07.307,20,+2.310,24
22,17,Keyvan Andres,HWA Racelab,2:09.660,20,2:07.579,21,+2.582,21
23,26,David Schumacher,Sauber Junior Team by Charouz,2:10.381,22,2:07.587,22,+2.590,22
24,19,Lukas Dunner,MP Motorsport,2:11.129,26,2:07.892,23,+2.895,23
25,33,Leonardo Pulcini,Campos Racing,2:08.287,11,2:10.001,28,+3.290,25
26,24,Andreas Estner,Jenzer Motorsport,2:11.006,25,2:08.651,25,+3.654,26
27,18,Sophia Flörsch,HWA Racelab,2:10.889,23,2:09.259,26,+4.262,27
28,23,Hon Chio Leong,Jenzer Motorsport,2:09.918,21,2:09.568,27,+4.571,28
29,31,Alessio Deledda,Campos Racing,2:12.991,28,2:10.114,29,+5.117,29
30,27,Enzo Fittipaldi,Sauber Junior Team by Charouz,2:10.894,24,2:10.124,30,+5.127,30
