Pos.,No.,Driver,Team,Time,Gap,Grid
1,9,Oliver Rowland,DAMS,1:26.731,—,1
2,6,Artem Markelov,Russian Time,1:26.806,+0.075,2
3,15,Jordan King,MP Motorsport,1:26.849,+0.118,3
4,2,Antonio Fuoco,Prema Racing,1:26.885,+0.154,4
5,20,Norman Nato,Arden International,1:26.968,+0.237,5
6,10,Nicholas Latifi,DAMS,1:26.973,+0.242,6
7,18,Nyck de Vries,Rapax,1:27.026,+0.295,7
8,7,Nobuharu Matsushita,ART Grand Prix,1:27.103,+0.372,8
9,19,Sergio Canamasas,Rapax,1:27.129,+0.398,9
10,17,Santino Ferrucci,Trident,1:27.139,+0.408,10
11,8,Alexander Albon,ART Grand Prix,1:27.221,+0.490,11
12,5,Luca Ghiotto,Russian Time,1:27.238,+0.507,12
13,12,Robert Vișoiu,Campos Racing,1:27.301,+0.570,13
14,11,Ralph Boschung,Campos Racing,1:27.339,+0.608,14
15,14,Sérgio Sette Câmara,MP Motorsport,1:27.492,+0.761,18
16,3,Louis Delétraz,Racing Engineering,1:27.582,+0.851,15
17,4,Gustav Malja,Racing Engineering,1:27.804,+1.073,16
18,16,Nabil Jeffri,Trident,1:28.248,+1.517,17
19,21,Sean Gelael,Arden International,1:46.783,+20.052,19
EX,1,Charles Leclerc,Prema Racing,1:26.268,—,20
