Team,No.,Drivers,Rounds
Carlin,1,Antonio Fuoco,All
Carlin,2,Jann Mardenborough,"1–5, 7–8"
Carlin,2,Adderly Fong,9
Carlin,3,Mitchell Gilbert,All
ART Grand Prix,4,Alfonso Celis Jr.,"1–5, 7–9"
ART Grand Prix,5,Marvin Kirchhöfer,All
ART Grand Prix,6,Esteban Ocon,All
Status Grand Prix,7,Seb Morris,All
Status Grand Prix,8,Alex Fontana,All
Status Grand Prix,9,Sandy Stuvik,All
Koiranen GP,10,Adderly Fong,"1–5, 7"
Koiranen GP,10,Matevos Isaakyan,8–9
Koiranen GP,11,Jimmy Eriksson,All
Koiranen GP,12,Matt Parry,All
Arden International,14,Kevin Ceccon,All
Arden International,15,Emil Bernstorff,All
Arden International,16,Aleksander Bosak,All
Jenzer Motorsport,20,Pål Varhaug,All
Jenzer Motorsport,21,Mathéo Tuscher,All
Jenzer Motorsport,22,Ralph Boschung,All
Campos Racing,23,Zaid Ashkanani,All
Campos Racing,24,Álex Palou,All
Campos Racing,25,Samin Gómez,"1–2, 4"
Campos Racing,25,Christopher Höher,3
Campos Racing,25,Brandon Maïsano,6
Campos Racing,25,Konstantin Tereshchenko,7–9
Trident,26,Artur Janosz,All
Trident,27,Luca Ghiotto,All
Trident,28,Óscar Tunjo,1–3
Trident,28,Beitske Visser,5
Trident,28,Amaury Bonduel,6
Trident,28,Michele Beretta,7–9
