Pos.,No.,Driver,Team,Time,Grid
1,9,James Calado,Lotus GP,1:47.342,1
2,4,Felipe Nasr,DAMS,1:47.349,2
3,10,Esteban Gutiérrez,Lotus GP,1:47.444,5
4,3,Davide Valsecchi,DAMS,1:47.458,6
5,12,Giedo van der Garde,Caterham Racing,1:47.543,3
6,26,Max Chilton,Carlin,1:47.674,4
7,5,Fabio Leimer,Racing Engineering,1:47.779,7
8,8,Jolyon Palmer,iSport International,1:47.801,8
9,7,Marcus Ericsson,iSport International,1:47.972,9
10,27,Rio Haryanto,Carlin,1:47.996,10
11,23,Luiz Razia,Arden International,1:48.155,11
12,20,Tom Dillmann,Rapax,1:48.176,12
13,14,Stefano Coletti,Scuderia Coloni,1:48.222,13
14,16,Stéphane Richelmi,Trident Racing,1:48.288,14
15,1,Johnny Cecotto Jr.,Barwa Addax Team,1:48.390,17
16,6,Nathanaël Berthon,Racing Engineering,1:48.518,15
17,22,Simon Trummer,Arden International,1:48.565,18
18,15,Fabio Onidi,Scuderia Coloni,1:48.578,16
19,2,Josef Král,Barwa Addax Team,1:48.626,19
20,17,Julián Leal,Trident Racing,1:48.641,20
21,18,Fabrizio Crestani,Venezuela GP Lazarus,1:48.846,21
22,11,Rodolfo González,Caterham Racing,1:48.936,22
23,25,Nigel Melker,Ocean Racing Technology,1:49.021,23
24,24,Víctor Guerin,Ocean Racing Technology,1:49.335,24
25,21,Daniël de Jong,Rapax,1:49.900,25
,19,Giancarlo Serenelli,Venezuela GP Lazarus,No time,26
