Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:20.126,1:19.553,1:19.307,1
2,44,Lewis Hamilton,Mercedes,1:20.272,1:19.464,1:19.346,2
3,77,Valtteri Bottas,Mercedes,1:20.156,1:20.018,1:19.354,3
4,5,Sebastian Vettel,Ferrari,1:20.378,1:19.715,1:19.457,4
5,3,Daniel Ricciardo,Renault,1:20.374,1:19.833,1:19.839,5
6,27,Nico Hülkenberg,Renault,1:20.155,1:20.275,1:20.049,6
7,55,Carlos Sainz Jr.,McLaren-Renault,1:20.413,1:20.202,1:20.455,7
8,23,Alexander Albon,Red Bull Racing-Honda,1:20.382,1:20.021,No time,8
9,18,Lance Stroll,Racing Point-BWT Mercedes,1:20.643,1:20.498,No time,9
10,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:20.634,1:20.515,No time,PL
11,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:20.657,1:20.517,N/A,10
12,20,Kevin Magnussen,Haas-Ferrari,1:20.616,1:20.615,N/A,11
13,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:20.723,1:20.630,N/A,12
14,4,Lando Norris,McLaren-Renault,1:20.646,1:21.068,N/A,16
15,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:20.508,1:21.125,N/A,17
16,8,Romain Grosjean,Haas-Ferrari,1:20.784,N/A,N/A,13
17,11,Sergio Pérez,Racing Point-BWT Mercedes,1:21.291,N/A,N/A,18
18,63,George Russell,Williams-Mercedes,1:21.800,N/A,N/A,14
19,88,Robert Kubica,Williams-Mercedes,1:22.356,N/A,N/A,15
—,33,Max Verstappen,Red Bull Racing-Honda,No time,N/A,N/A,19
