Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,33,Max Verstappen,Red Bull Racing-Honda,1:15.817,1:15.573,1:14.572,1
2,77,Valtteri Bottas,Mercedes,1:16.078,1:15.669,1:14.590,2
3,44,Lewis Hamilton,Mercedes,1:16.068,1:15.548,1:14.769,3
4,16,Charles Leclerc,Ferrari,1:16.337,1:15.792,1:15.043,4
5,5,Sebastian Vettel,Ferrari,1:16.452,1:15.885,1:15.071,5
6,10,Pierre Gasly,Red Bull Racing-Honda,1:16.716,1:16.393,1:15.450,6
7,4,Lando Norris,McLaren-Renault,1:16.697,1:16.060,1:15.800,7
8,55,Carlos Sainz Jr.,McLaren-Renault,1:16.493,1:16.308,1:15.852,8
9,8,Romain Grosjean,Haas-Ferrari,1:16.978,1:16.319,1:16.013,9
10,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:16.506,1:16.518,1:16.041,10
11,27,Nico Hülkenberg,Renault,1:16.790,1:16.565,N/A,11
12,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:16.912,1:16.687,N/A,12
13,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:16.750,1:16.692,N/A,13
14,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:16.894,1:16.804,N/A,17
15,20,Kevin Magnussen,Haas-Ferrari,1:16.122,1:17.081,N/A,14
16,63,George Russell,Williams-Mercedes,1:17.031,N/A,N/A,15
17,11,Sergio Pérez,Racing Point-BWT Mercedes,1:17.109,N/A,N/A,16
18,3,Daniel Ricciardo,Renault,1:17.257,N/A,N/A,20
19,18,Lance Stroll,Racing Point-BWT Mercedes,1:17.542,N/A,N/A,18
20,88,Robert Kubica,Williams-Mercedes,1:18.324,N/A,N/A,19
