Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:38.014,1:36.650,1:36.217,1
2,44,Lewis Hamilton,Mercedes,1:37.565,1:36.933,1:36.408,2
3,5,Sebastian Vettel,Ferrari,1:38.374,1:36.720,1:36.437,3
4,33,Max Verstappen,Red Bull Racing-Honda,1:38.540,1:37.089,1:36.813,4
5,77,Valtteri Bottas,Mercedes,1:37.317,1:37.142,1:37.146,5
6,23,Alexander Albon,Red Bull Racing-Honda,1:39.106,1:37.865,1:37.411,6
7,55,Carlos Sainz Jr.,McLaren-Renault,1:38.882,1:37.982,1:37.818,7
8,27,Nico Hülkenberg,Renault,1:39.001,1:38.580,1:38.264,8
9,4,Lando Norris,McLaren-Renault,1:38.606,1:37.572,1:38.329,9
10,11,Sergio Pérez,Racing Point-BWT Mercedes,1:39.909,1:38.620,N/A,15
11,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:39.272,1:38.697,N/A,10
12,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:39.085,1:38.699,N/A,11
13,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:39.454,1:38.858,N/A,12
14,20,Kevin Magnussen,Haas-Ferrari,1:39.942,1:39.650,N/A,13
15,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:39.957,N/A,N/A,14
16,18,Lance Stroll,Racing Point-BWT Mercedes,1:39.979,N/A,N/A,16
17,8,Romain Grosjean,Haas-Ferrari,1:40.277,N/A,N/A,17
18,63,George Russell,Williams-Mercedes,1:40.867,N/A,N/A,18
19,88,Robert Kubica,Williams-Mercedes,1:41.186,N/A,N/A,19
DSQ,3,Daniel Ricciardo,Renault,1:39.362,1:38.399,1:38.095,20
