Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,1:16.979,1:15.924,1:15.406,1
2,44,Lewis Hamilton,Mercedes,1:17.292,1:16.038,1:16.040,2
3,5,Sebastian Vettel,Ferrari,1:17.425,1:16.667,1:16.272,3
4,33,Max Verstappen,Red Bull Racing-Honda,1:17.244,1:16.726,1:16.357,4
5,16,Charles Leclerc,Ferrari,1:17.388,1:16.714,1:16.588,5
6,10,Pierre Gasly,Red Bull Racing-Honda,1:17.862,1:16.932,1:16.708,6
7,8,Romain Grosjean,Haas-Ferrari,1:18.042,1:17.066,1:16.911,7
8,20,Kevin Magnussen,Haas-Ferrari,1:17.669,1:17.272,1:16.922,8
9,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:17.914,1:17.243,1:17.573,9
10,3,Daniel Ricciardo,Renault,1:18.385,1:17.299,1:18.106,13
11,4,Lando Norris,McLaren-Renault,1:17.611,1:17.338,N/A,10
12,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:17.796,1:17.445,N/A,11
13,55,Carlos Sainz Jr.,McLaren-Renault,1:17.760,1:17.599,N/A,12
14,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:18.132,1:17.788,N/A,14
15,11,Sergio Pérez,Racing Point-BWT Mercedes,1:18.286,1:17.886,N/A,15
16,27,Nico Hülkenberg,Renault,1:18.404,N/A,N/A,PL
17,18,Lance Stroll,Racing Point-BWT Mercedes,1:18.471,N/A,N/A,16
18,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:18.664,N/A,N/A,18
19,63,George Russell,Williams-Mercedes,1:19.072,N/A,N/A,19
20,88,Robert Kubica,Williams-Mercedes,1:20.254,N/A,N/A,17
