Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,5,Sebastian Vettel,Ferrari,1:28.988,1:28.174,1:27.064,1
2,16,Charles Leclerc,Ferrari,1:28.405,1:28.179,1:27.253,2
3,77,Valtteri Bottas,Mercedes,1:28.896,1:27.688,1:27.293,3
4,44,Lewis Hamilton,Mercedes,1:28.735,1:27.826,1:27.302,4
5,33,Max Verstappen,Red Bull Racing-Honda,1:28.754,1:28.499,1:27.851,5
6,23,Alexander Albon,Red Bull Racing-Honda,1:29.351,1:28.156,1:27.851,6
7,55,Carlos Sainz Jr.,McLaren-Renault,1:29.018,1:28.577,1:28.304,7
8,4,Lando Norris,McLaren-Renault,1:28.873,1:28.571,1:28.464,8
9,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:29.411,1:28.779,1:28.836,9
10,8,Romain Grosjean,Haas-Ferrari,1:29.572,1:29.144,1:29.341,10
11,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:29.604,1:29.254,N/A,11
12,18,Lance Stroll,Racing Point-BWT Mercedes,1:29.594,1:29.345,N/A,12
13,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:29.636,1:29.358,N/A,13
14,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:29.723,1:29.563,N/A,14
15,27,Nico Hülkenberg,Renault,1:29.619,1:30.112,N/A,15
16,3,Daniel Ricciardo,Renault,1:29.822,N/A,N/A,16
17,11,Sergio Pérez,Racing Point-BWT Mercedes,1:30.344,N/A,N/A,17
18,63,George Russell,Williams-Mercedes,1:30.364,N/A,N/A,18
—,20,Kevin Magnussen,Haas-Ferrari,No time,N/A,N/A,19
—,88,Robert Kubica,Williams-Mercedes,No time,N/A,N/A,PL
