Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:22.043,1:21.014,1:20.486,1
2,77,Valtteri Bottas,Mercedes,1:22.367,1:21.193,1:20.598,2
3,5,Sebastian Vettel,Ferrari,1:22.885,1:21.912,1:21.190,3
4,33,Max Verstappen,Red Bull Racing-Honda,1:22.876,1:21.678,1:21.320,4
5,16,Charles Leclerc,Ferrari,1:22.017,1:21.739,1:21.442,5
6,8,Romain Grosjean,Haas-Ferrari,1:22.959,1:21.870,1:21.826,6
7,20,Kevin Magnussen,Haas-Ferrari,1:22.519,1:22.221,1:22.099,7
8,4,Lando Norris,McLaren-Renault,1:22.702,1:22.423,1:22.304,8
9,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:22.966,1:22.349,1:22.314,9
10,11,Sergio Pérez,Racing Point-BWT Mercedes,1:22.908,1:22.532,1:22.781,10
11,27,Nico Hülkenberg,Renault,1:22.540,1:22.562,N/A,11
12,3,Daniel Ricciardo,Renault,1:22.921,1:22.570,N/A,12
13,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:22.757,1:22.636,N/A,13
14,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:22.431,1:22.714,N/A,14
15,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:22.511,1:22.774,N/A,15
16,18,Lance Stroll,Racing Point-BWT Mercedes,1:23.017,N/A,N/A,16
17,10,Pierre Gasly,Red Bull Racing-Honda,1:23.020,N/A,N/A,17
18,55,Carlos Sainz Jr.,McLaren-Renault,1:23.084,N/A,N/A,18
19,63,George Russell,Williams-Mercedes,1:24.360,N/A,N/A,19
20,88,Robert Kubica,Williams-Mercedes,1:26.067,N/A,N/A,20
