Pos.,No.,Driver,Team,Grid,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:28.495,1:28.046,1:27.866,1
2,5,Sebastian Vettel,Ferrari,1:28.733,1:28.356,1:28.160,2
3,44,Lewis Hamilton,Mercedes,1:29.262,1:28.578,1:28.190,3
4,77,Valtteri Bottas,Mercedes,1:29.498,1:28.830,1:28.256,4
5,33,Max Verstappen,Red Bull Racing-Honda,1:29.579,1:29.109,1:28.752,5
6,20,Kevin Magnussen,Haas-Ferrari,1:29.532,1:29.017,1:28.757,6
7,55,Carlos Sainz Jr.,McLaren-Renault,1:29.528,1:29.055,1:28.813,7
8,8,Romain Grosjean,Haas-Ferrari,1:29.688,1:29.249,1:29.015,11
9,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:29.959,1:29.471,1:29.022,8
10,4,Lando Norris,McLaren-Renault,1:29.381,1:29.258,1:29.043,9
11,3,Daniel Ricciardo,Renault,1:29.859,1:29.488,N/A,10
12,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:29.514,1:29.513,N/A,12
13,10,Pierre Gasly,Red Bull Racing-Honda,1:29.900,1:29.526,N/A,13
14,11,Sergio Pérez,Racing Point-BWT Mercedes,1:29.893,1:29.756,N/A,14
15,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:29.876,1:29.854,N/A,15
16,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:30.026,N/A,N/A,16
17,27,Nico Hülkenberg,Renault,1:30.034,N/A,N/A,17
18,18,Lance Stroll,Racing Point-BWT Mercedes,1:30.217,N/A,N/A,18
19,63,George Russell,Williams-Mercedes,1:31.759,N/A,N/A,19
20,88,Robert Kubica,Williams-Mercedes,1:31.799,N/A,N/A,20
